country,iso2,purchasing_power_index,health_coverage_pct,aged_65plus_pct,gdp_per_capita_usd,life_cover_likelihood,label_purchase
Austria,AT,104.57,90.88,20.63,53286.78,0.721,1
Belgium,BE,70.73,90.09,18.45,38205.09,0.453,0
Bulgaria,BG,99.75,91.44,21.08,51333.5,0.706,1
Croatia,HR,100.99,97.38,19.64,31688.49,0.64,1
Cyprus,CY,105.53,91.12,21.07,41400.89,0.656,1
Czechia,CZ,97.23,91.96,22.28,40145.65,0.647,1
Denmark,DK,93.58,92.94,19.86,46385.33,0.658,1
Estonia,EE,106.19,95.29,25.5,37123.02,0.74,1
Finland,FI,92.32,91.56,20.16,55547.67,0.699,1
France,FR,98.29,91.48,15.11,49807.11,0.612,1
Germany,DE,111.15,95.63,15.67,44785.94,0.685,1
Greece,GR,101.75,94.66,21.05,44683.15,0.711,1
Hungary,HU,110.18,94.2,19.01,49575.46,0.736,1
Ireland,IE,78.14,93.04,16.35,34333.47,0.464,0
Italy,IT,95.87,98.48,14.97,53619.34,0.72,1
Latvia,LV,74.76,93.0,18.57,49034.67,0.593,1
Lithuania,LT,110.67,96.38,16.78,36451.78,0.653,1
Luxembourg,LU,112.87,93.43,13.54,28400.55,0.513,0
Malta,MT,86.21,95.49,18.5,50285.82,0.675,1
Netherlands,NL,93.59,94.48,20.19,38287.84,0.628,1
Poland,PL,106.85,92.01,16.73,37419.15,0.584,1
Portugal,PT,82.06,95.46,16.36,42149.93,0.573,1
Romania,RO,107.21,95.34,20.33,40818.17,0.703,1
Slovakia,SK,93.65,93.76,12.09,24634.65,0.398,0
Slovenia,SI,80.16,91.01,19.4,31134.25,0.463,0
Spain,ES,94.33,97.9,16.75,50850.19,0.713,1
Sweden,SE,86.0,93.38,14.67,37931.6,0.5,0
